# AmiraMesh 3D ASCII 2.0


define Markers 41

Parameters {
    NumSets 1,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Orientations } @2

# Data section follows
@1
-1.476550292968750e+001 2.210703125000000e+002 -4.015591430664063e+001 
-1.615402984619141e+001 1.315472869873047e+002 -2.946697998046875e+001 
-1.115475463867188e+001 1.026739501953125e+002 -1.183189086914063e+002 
-1.138461875915527e+001 9.092889404296875e+001 -1.073345031738281e+002 
-1.039094543457031e+001 9.585095214843750e+001 -1.169561614990234e+002 
-9.591674804687500e+000 9.191931152343750e+001 -1.351541595458984e+002 
-8.154167175292969e+000 9.890039062500000e+001 -1.567277679443359e+002 
-6.184018135070801e+000 1.059866104125977e+002 -1.694052886962891e+002 
-6.123580932617188e+000 1.143207397460938e+002 -1.595614624023438e+002 
-7.553641319274902e+000 1.417121582031250e+002 -1.517058715820313e+002 
-1.488800811767578e+001 9.841113281250000e+001 -1.202968750000000e+002 
-5.861484527587891e+000 9.772784423828125e+001 -1.193245544433594e+002 
-5.010849761962891e+001 1.122200927734375e+002 -1.215092773437500e+002 
3.007288360595703e+001 1.129989013671875e+002 -1.150502777099609e+002 
-5.316137695312500e+001 1.160399780273438e+002 -1.206265869140625e+002 
3.218194580078125e+001 1.167503662109375e+002 -1.131419067382813e+002 
-3.564183807373047e+001 9.917401123046875e+001 -1.120604858398438e+002 
1.060149383544922e+001 9.892797851562500e+001 -1.074652404785156e+002 
-3.244008636474609e+001 1.099310302734375e+002 -1.411528930664063e+002 
9.352302551269531e+000 1.082923583984375e+002 -1.358788452148438e+002 
-3.553390502929688e+001 1.108468017578125e+002 -1.411260375976563e+002 
1.753472900390625e+001 1.103759765625000e+002 -1.360161437988281e+002 
-5.233972167968750e+001 1.759700927734375e+002 -1.323636474609375e+002 
3.508776855468750e+001 1.767494506835938e+002 -1.252751617431641e+002 
-1.746417999267578e+001 1.037786254882813e+002 -1.524001770019531e+002 
2.277822494506836e+000 1.040684814453125e+002 -1.507596740722656e+002 
