# AmiraMesh 3D ASCII 2.0


define Markers 41

Parameters {
    NumSets 1,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Orientations } @2

# Data section follows
@1
-2.104426956176758e+001 2.296095581054688e+002 -7.984119415283203e+001 
-5.820074081420898e+000 1.436021270751953e+002 -3.973368835449219e+001 
1.321029663085938e-001 1.034064178466797e+002 -1.142457580566406e+002 
-2.919998168945313e-001 9.067762756347656e+001 -1.082608108520508e+002 
1.542210578918457e-001 9.307105255126953e+001 -1.160055465698242e+002 
4.064902782440186e+000 8.898519897460938e+001 -1.355685729980469e+002 
6.087931632995606e+000 9.297825622558594e+001 -1.586181488037109e+002 
6.194395065307617e+000 9.491235351562500e+001 -1.713188476562500e+002 
5.749991416931152e+000 1.060680694580078e+002 -1.688526611328125e+002 
1.762770652770996e+000 1.311525268554688e+002 -1.583524475097656e+002 
-2.633519887924194e+000 9.447512817382813e+001 -1.183920135498047e+002 
3.311728954315186e+000 9.483396911621094e+001 -1.183937530517578e+002 
-4.424919128417969e+001 1.031206741333008e+002 -1.274462509155273e+002 
4.419474792480469e+001 1.051055908203125e+002 -1.188261795043945e+002 
-4.735450744628906e+001 1.049151763916016e+002 -1.252361145019531e+002 
4.690390777587891e+001 1.073454666137695e+002 -1.165475234985352e+002 
-2.577942466735840e+001 9.469452667236328e+001 -1.146939010620117e+002 
2.363615798950195e+001 9.667684936523438e+001 -1.097011032104492e+002 
-1.842314720153809e+001 9.910530090332031e+001 -1.439606628417969e+002 
2.486235427856445e+001 9.969053649902344e+001 -1.409638824462891e+002 
-3.319464874267578e+001 1.019225692749023e+002 -1.452984313964844e+002 
4.004449462890625e+001 1.034970626831055e+002 -1.397192535400391e+002 
-4.824508285522461e+001 1.642176971435547e+002 -1.437801513671875e+002 
4.430896759033203e+001 1.659219818115234e+002 -1.371652221679688e+002 
-4.480436325073242e+000 9.778221893310547e+001 -1.556362152099609e+002 
1.516318511962891e+001 9.840589141845703e+001 -1.549623870849609e+002 
