# AmiraMesh 3D ASCII 2.0


define Markers 41

Parameters {
    NumSets 1,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Orientations } @2

# Data section follows
@1
-6.364974975585938e+000 2.278356628417969e+002 -6.355301666259766e+001 
1.219059181213379e+001 1.230818939208984e+002 -6.079211425781250e+001 
1.877853012084961e+001 1.156720123291016e+002 -1.585267791748047e+002 
1.985174560546875e+001 1.017008361816406e+002 -1.527545166015625e+002 
1.928903198242188e+001 1.096638031005859e+002 -1.607480468750000e+002 
2.081212615966797e+001 1.099855194091797e+002 -1.740656280517578e+002 
2.014619445800781e+001 1.251534576416016e+002 -1.928630981445313e+002 
1.940256500244141e+001 1.309177246093750e+002 -2.023536224365234e+002 
1.711163902282715e+001 1.368951416015625e+002 -1.934427947998047e+002 
1.260405921936035e+001 1.568199462890625e+002 -1.749295349121094e+002 
1.265256881713867e+001 1.124365844726563e+002 -1.630590820312500e+002 
2.567277526855469e+001 1.143970947265625e+002 -1.618055725097656e+002 
-2.426664733886719e+001 1.187345886230469e+002 -1.609438781738281e+002 
5.806585693359375e+001 1.320005645751953e+002 -1.559259338378906e+002 
-2.707214355468750e+001 1.190924377441406e+002 -1.587169952392578e+002 
6.034658813476563e+001 1.327705230712891e+002 -1.531641082763672e+002 
-3.118846178054810e+000 1.037493209838867e+002 -1.550968627929688e+002 
4.038985443115234e+001 1.119266357421875e+002 -1.516991882324219e+002 
-1.168746948242188e+000 1.222540588378906e+002 -1.777490539550781e+002 
3.898077392578125e+001 1.297330169677734e+002 -1.753284912109375e+002 
-1.352345561981201e+001 1.240119781494141e+002 -1.788198242187500e+002 
4.716616821289063e+001 1.337429809570313e+002 -1.751870422363281e+002 
-3.665600585937500e+001 1.777974548339844e+002 -1.493278503417969e+002 
5.039652252197266e+001 1.901025695800781e+002 -1.459791870117188e+002 
9.319023132324219e+000 1.269109954833984e+002 -1.862044830322266e+002 
2.831944274902344e+001 1.304574737548828e+002 -1.860843048095703e+002 
-1.916763305664063e+001 1.372036590576172e+002 -1.861184234619141e+002 
