# AmiraMesh 3D ASCII 2.0


define Markers 41

Parameters {
    NumSets 1,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Orientations } @2

# Data section follows
@1
-4.582721710205078e+001 2.275430450439453e+002 -7.572835540771484e+001 
-9.655110359191895e+000 1.476525726318359e+002 -3.210671997070313e+001 
1.578109931945801e+001 1.166893463134766e+002 -1.159304809570313e+002 
2.145693969726563e+001 1.059927978515625e+002 -1.047851867675781e+002 
1.920790100097656e+001 1.112346191406250e+002 -1.191247406005859e+002 
2.198565673828125e+001 1.073405761718750e+002 -1.329840698242188e+002 
2.135385131835938e+001 1.119150390625000e+002 -1.507181701660156e+002 
2.291074180603027e+001 1.118850250244141e+002 -1.665756378173828e+002 
1.706047439575195e+001 1.218816375732422e+002 -1.582934570312500e+002 
6.893043518066406e+000 1.423114013671875e+002 -1.507799072265625e+002 
1.336731338500977e+001 1.109007568359375e+002 -1.222576293945313e+002 
2.251846313476563e+001 1.150875701904297e+002 -1.215665359497070e+002 
-2.244854736328125e+001 1.066925964355469e+002 -1.235715332031250e+002 
4.860934448242188e+001 1.410244903564453e+002 -1.164463729858398e+002 
-2.677446365356445e+001 1.098726348876953e+002 -1.217021331787109e+002 
4.938769531250000e+001 1.462754516601563e+002 -1.145917358398438e+002 
-2.707031250000000e+000 1.034381713867188e+002 -1.113936004638672e+002 
3.713223266601563e+001 1.228734741210938e+002 -1.069605941772461e+002 
-4.903717041015625e+000 1.095950317382813e+002 -1.408954467773438e+002 
3.638565063476563e+001 1.298699493408203e+002 -1.371132202148438e+002 
-1.482580566406250e+001 1.080921936035156e+002 -1.397626037597656e+002 
4.526821899414063e+001 1.385070800781250e+002 -1.343393859863281e+002 
-4.885998535156250e+001 1.577234497070313e+002 -1.397756958007813e+002 
2.838668823242188e+001 1.941275787353516e+002 -1.336055755615234e+002 
9.812530517578125e+000 1.099225311279297e+002 -1.481811218261719e+002 
2.980580139160156e+001 1.200849456787109e+002 -1.471181030273438e+002 
