# AmiraMesh 3D ASCII 2.0


define Markers 41

Parameters {
    NumSets 1,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Orientations } @2

# Data section follows
@1
9.842681884765625e-001 2.171207733154297e+002 -5.263171386718750e+001 
-8.598251342773438e+000 9.935516357421875e+001 -6.110638427734375e+001 
-1.738123703002930e+001 1.015348205566406e+002 -1.607386474609375e+002 
-1.965011978149414e+001 8.677239990234375e+001 -1.616787109375000e+002 
-1.921244049072266e+001 9.286853027343750e+001 -1.668923339843750e+002 
-1.966047286987305e+001 9.399877929687500e+001 -1.785141601562500e+002 
-2.004380798339844e+001 1.072038574218750e+002 -1.959652709960938e+002 
-1.933998680114746e+001 1.138489990234375e+002 -2.082046661376953e+002 
-1.762663269042969e+001 1.204528808593750e+002 -1.990415039062500e+002 
-1.518067741394043e+001 1.427804412841797e+002 -1.802554321289063e+002 
-2.474520874023438e+001 9.737451171875000e+001 -1.666107788085938e+002 
-1.374237060546875e+001 9.571362304687500e+001 -1.673687744140625e+002 
-5.550885009765625e+001 1.118023071289063e+002 -1.616379394531250e+002 
2.104779052734375e+001 1.031640625000000e+002 -1.660765991210938e+002 
-5.828723144531250e+001 1.159932098388672e+002 -1.578833770751953e+002 
2.389221191406250e+001 1.086677703857422e+002 -1.624631652832031e+002 
-4.011457824707031e+001 9.478979492187500e+001 -1.580111694335938e+002 
-1.800537109375000e-003 8.953356933593750e+001 -1.594692382812500e+002 
-3.930288696289063e+001 1.112822265625000e+002 -1.814746398925781e+002 
3.267868041992188e+000 1.077693481445313e+002 -1.835730590820313e+002 
-4.994682312011719e+001 1.170119628906250e+002 -1.792810058593750e+002 
1.350254058837891e+001 1.104030151367188e+002 -1.831530151367188e+002 
-5.023077392578125e+001 1.754288787841797e+002 -1.451357421875000e+002 
3.146588134765625e+001 1.621132965087891e+002 -1.502182312011719e+002 
-2.841189575195313e+001 1.100854492187500e+002 -1.921730346679688e+002 
-9.518493652343750e+000 1.088406372070313e+002 -1.936394042968750e+002 
