# AmiraMesh 3D ASCII 2.0


define Markers 41

Parameters {
    NumSets 1,
    ContentType "LandmarkSet"
}

Markers { float[3] Coordinates } @1
Markers { float[3] Orientations } @2

# Data section follows
@1
1.005729866027832e+001 2.188343811035156e+002 -4.206097412109375e+001 
4.165185928344727e+000 1.252404479980469e+002 -5.663627243041992e+001 
8.442556381225586e+000 1.238913116455078e+002 -1.385775451660156e+002 
6.333501815795898e+000 1.111537628173828e+002 -1.302994079589844e+002 
7.733137130737305e+000 1.205326080322266e+002 -1.409943237304688e+002 
8.368217468261719e+000 1.202482681274414e+002 -1.518137054443359e+002 
9.840003013610840e+000 1.281448364257813e+002 -1.653528289794922e+002 
9.608875274658203e+000 1.296870574951172e+002 -1.713077087402344e+002 
1.000622463226318e+001 1.416457824707031e+002 -1.643429107666016e+002 
1.049020671844482e+001 1.580643005371094e+002 -1.532185668945313e+002 
4.544353485107422e+000 1.218149261474609e+002 -1.426972351074219e+002 
1.222084808349609e+001 1.215678253173828e+002 -1.432863922119141e+002 
-2.687601089477539e+001 1.324662475585938e+002 -1.391461791992188e+002 
4.408846282958984e+001 1.292807006835938e+002 -1.371888275146484e+002 
-2.811811828613281e+001 1.363671875000000e+002 -1.362117767333984e+002 
4.561334991455078e+001 1.326462249755859e+002 -1.342369842529297e+002 
-1.523803520202637e+001 1.193600463867188e+002 -1.335339355468750e+002 
2.841279029846191e+001 1.163493499755859e+002 -1.319786071777344e+002 
-8.777891159057617e+000 1.327074584960938e+002 -1.557095642089844e+002 
2.810636138916016e+001 1.325014190673828e+002 -1.547717590332031e+002 
-1.322410869598389e+001 1.328714904785156e+002 -1.551084594726563e+002 
3.412662506103516e+001 1.321808471679688e+002 -1.535114440917969e+002 
-2.204266357421875e+001 1.845010223388672e+002 -1.344678344726563e+002 
4.662503814697266e+001 1.798959655761719e+002 -1.324283905029297e+002 
1.855440378189087e+000 1.312661590576172e+002 -1.626488189697266e+002 
1.731575775146484e+001 1.306866455078125e+002 -1.617160491943359e+002 
-2.105241775512695e+001 1.488860473632813e+002 -1.570111236572266e+002 
